 : ածականներ -ագույն ածանցով
բարդ բարդագույն ուժեղ ուժեղագույն
բարդ բարդագույն պարզ պարզագույն
բարդ բարդագույն փոքր փոքրագույն
բարդ բարդագույն մեծ մեծագույն
բարդ բարդագույն լավ լավագույն
բարդ բարդագույն վատ վատագույն
բարդ բարդագույն խոր խորագույն
բարդ բարդագույն նվազ նվազագույն
բարդ բարդագույն հին հնագույն
բարդ բարդագույն նոր նորագույն
բարդ բարդագույն պայծառ պայծառագույն
բարդ բարդագույն ազնիվ ազնվագույն
բարդ բարդագույն քաջ քաջագույն
բարդ բարդագույն գեր գերագույն
բարդ բարդագույն խոշոր խոշորագույն
բարդ բարդագույն քնքուշ քնքշագույն
բարդ բարդագույն գեղեցիկ գեղեցկագույն
փոքր փոքրագույն բարձր բարձրագույն
փոքր փոքրագույն ցածր ցածրագույն
փոքր փոքրագույն ծանր ծանրագույն
փոքր փոքրագույն ուժեղ ուժեղագույն
փոքր փոքրագույն պարզ պարզագույն
փոքր փոքրագույն բարդ բարդագույն
փոքր փոքրագույն մեծ մեծագույն
փոքր փոքրագույն լավ լավագույն
փոքր փոքրագույն վատ վատագույն
փոքր փոքրագույն խոր խորագույն
փոքր փոքրագույն նվազ նվազագույն
փոքր փոքրագույն հին հնագույն
փոքր փոքրագույն նոր նորագույն
փոքր փոքրագույն պայծառ պայծառագույն
փոքր փոքրագույն ազնիվ ազնվագույն
փոքր փոքրագույն քաջ քաջագույն
փոքր փոքրագույն գեր գերագույն
փոքր փոքրագույն խոշոր խոշորագույն
փոքր փոքրագույն քնքուշ քնքշագույն
փոքր փոքրագույն գեղեցիկ գեղեցկագույն
մեծ մեծագույն բարձր բարձրագույն
մեծ մեծագույն ցածր ցածրագույն
մեծ մեծագույն ծանր ծանրագույն
մեծ մեծագույն ուժեղ ուժեղագույն
մեծ մեծագույն պարզ պարզագույն
մեծ մեծագույն բարդ բարդագույն
մեծ մեծագույն փոքր փոքրագույն
մեծ մեծագույն լավ լավագույն
մեծ մեծագույն վատ վատագույն
մեծ մեծագույն խոր խորագույն
մեծ մեծագույն նվազ նվազագույն
մեծ մեծագույն հին հնագույն
մեծ մեծագույն նոր նորագույն
մեծ մեծագույն պայծառ պայծառագույն
մեծ մեծագույն ազնիվ ազնվագույն
մեծ մեծագույն քաջ քաջագույն
մեծ մեծագույն գեր գերագույն
մեծ մեծագույն խոշոր խոշորագույն
մեծ մեծագույն քնքուշ քնքշագույն
մեծ մեծագույն գեղեցիկ գեղեցկագույն
լավ լավագույն բարձր բարձրագույն
լավ լավագույն ցածր ցածրագույն
լավ լավագույն ծանր ծանրագույն
լավ լավագույն ուժեղ ուժեղագույն
լավ լավագույն պարզ պարզագույն
լավ լավագույն բարդ բարդագույն
լավ լավագույն փոքր փոքրագույն
լավ լավագույն մեծ մեծագույն
լավ լավագույն վատ վատագույն
լավ լավագույն խոր խորագույն
լավ լավագույն նվազ նվազագույն
լավ լավագույն հին հնագույն
լավ լավագույն նոր նորագույն
լավ լավագույն պայծառ պայծառագույն
լավ լավագույն ազնիվ ազնվագույն
լավ լավագույն քաջ քաջագույն
լավ լավագույն գեր գերագույն
լավ լավագույն խոշոր խոշորագույն
լավ լավագույն քնքուշ քնքշագույն
լավ լավագույն գեղեցիկ գեղեցկագույն
վատ վատագույն բարձր բարձրագույն
վատ վատագույն ցածր ցածրագույն
վատ վատագույն ծանր ծանրագույն
վատ վատագույն ուժեղ ուժեղագույն
վատ վատագույն պարզ պարզագույն
վատ վատագույն բարդ բարդագույն
վատ վատագույն փոքր փոքրագույն
վատ վատագույն մեծ մեծագույն
վատ վատագույն լավ լավագույն
վատ վատագույն խոր խորագույն
վատ վատագույն նվազ նվազագույն
վատ վատագույն հին հնագույն
վատ վատագույն նոր նորագույն
վատ վատագույն պայծառ պայծառագույն
վատ վատագույն ազնիվ ազնվագույն
վատ վատագույն քաջ քաջագույն
վատ վատագույն գեր գերագույն
վատ վատագույն խոշոր խոշորագույն
վատ վատագույն քնքուշ քնքշագույն
վատ վատագույն գեղեցիկ գեղեցկագույն
խոր խորագույն բարձր բարձրագույն
խոր խորագույն ցածր ցածրագույն
խոր խորագույն ծանր ծանրագույն
խոր խորագույն ուժեղ ուժեղագույն
խոր խորագույն պարզ պարզագույն
խոր խորագույն բարդ բարդագույն
խոր խորագույն փոքր փոքրագույն
խոր խորագույն մեծ մեծագույն
խոր խորագույն լավ լավագույն
խոր խորագույն վատ վատագույն
խոր խորագույն նվազ նվազագույն
խոր խորագույն հին հնագույն
խոր խորագույն նոր նորագույն
խոր խորագույն պայծառ պայծառագույն
խոր խորագույն ազնիվ ազնվագույն
խոր խորագույն քաջ քաջագույն
խոր խորագույն գեր գերագույն
խոր խորագույն խոշոր խոշորագույն
խոր խորագույն քնքուշ քնքշագույն
խոր խորագույն գեղեցիկ գեղեցկագույն
նվազ նվազագույն բարձր բարձրագույն
նվազ նվազագույն ցածր ցածրագույն
նվազ նվազագույն ծանր ծանրագույն
նվազ նվազագույն ուժեղ ուժեղագույն
նվազ նվազագույն պարզ պարզագույն
նվազ նվազագույն բարդ բարդագույն
նվազ նվազագույն փոքր փոքրագույն
նվազ նվազագույն մեծ մեծագույն
նվազ նվազագույն լավ լավագույն
նվազ նվազագույն վատ վատագույն
նվազ նվազագույն խոր խորագույն
նվազ նվազագույն հին հնագույն
նվազ նվազագույն նոր նորագույն
նվազ նվազագույն պայծառ պայծառագույն
նվազ նվազագույն ազնիվ ազնվագույն
նվազ նվազագույն քաջ քաջագույն
նվազ նվազագույն գեր գերագույն
նվազ նվազագույն խոշոր խոշորագույն
նվազ նվազագույն քնքուշ քնքշագույն
նվազ նվազագույն գեղեցիկ գեղեցկագույն
հին հնագույն բարձր բարձրագույն
հին հնագույն ցածր ցածրագույն
հին հնագույն ծանր ծանրագույն
հին հնագույն ուժեղ ուժեղագույն
հին հնագույն պարզ պարզագույն
հին հնագույն բարդ բարդագույն
հին հնագույն փոքր փոքրագույն
հին հնագույն մեծ մեծագույն
հին հնագույն լավ լավագույն
հին հնագույն վատ վատագույն
հին հնագույն խոր խորագույն
հին հնագույն նվազ նվազագույն
հին հնագույն նոր նորագույն
հին հնագույն պայծառ պայծառագույն
հին հնագույն ազնիվ ազնվագույն
հին հնագույն քաջ քաջագույն
հին հնագույն գեր գերագույն
հին հնագույն խոշոր խոշորագույն
հին հնագույն քնքուշ քնքշագույն
հին հնագույն գեղեցիկ գեղեցկագույն
նոր նորագույն բարձր բարձրագույն
նոր նորագույն ցածր ցածրագույն
նոր նորագույն ծանր ծանրագույն
նոր նորագույն ուժեղ ուժեղագույն
նոր նորագույն պարզ պարզագույն
նոր նորագույն բարդ բարդագույն
նոր նորագույն փոքր փոքրագույն
նոր նորագույն մեծ մեծագույն
նոր նորագույն լավ լավագույն
նոր նորագույն վատ վատագույն
նոր նորագույն խոր խորագույն
նոր նորագույն նվազ նվազագույն
նոր նորագույն հին հնագույն
նոր նորագույն պայծառ պայծառագույն
նոր նորագույն ազնիվ ազնվագույն
նոր նորագույն քաջ քաջագույն
նոր նորագույն գեր գերագույն
նոր նորագույն խոշոր խոշորագույն
նոր նորագույն քնքուշ քնքշագույն
նոր նորագույն գեղեցիկ գեղեցկագույն
պայծառ պայծառագույն բարձր բարձրագույն
պայծառ պայծառագույն ցածր ցածրագույն
պայծառ պայծառագույն ծանր ծանրագույն
պայծառ պայծառագույն ուժեղ ուժեղագույն
պայծառ պայծառագույն պարզ պարզագույն
պայծառ պայծառագույն բարդ բարդագույն
պայծառ պայծառագույն փոքր փոքրագույն
պայծառ պայծառագույն մեծ մեծագույն
պայծառ պայծառագույն լավ լավագույն
պայծառ պայծառագույն վատ վատագույն
պայծառ պայծառագույն խոր խորագույն
պայծառ պայծառագույն նվազ նվազագույն
պայծառ պայծառագույն հին հնագույն
պայծառ պայծառագույն նոր նորագույն
պայծառ պայծառագույն ազնիվ ազնվագույն
պայծառ պայծառագույն քաջ քաջագույն
պայծառ պայծառագույն գեր գերագույն
պայծառ պայծառագույն խոշոր խոշորագույն
պայծառ պայծառագույն քնքուշ քնքշագույն
պայծառ պայծառագույն գեղեցիկ գեղեցկագույն
ազնիվ ազնվագույն բարձր բարձրագույն
ազնիվ ազնվագույն ցածր ցածրագույն
ազնիվ ազնվագույն ծանր ծանրագույն
ազնիվ ազնվագույն ուժեղ ուժեղագույն
ազնիվ ազնվագույն պարզ պարզագույն
ազնիվ ազնվագույն բարդ բարդագույն
ազնիվ ազնվագույն փոքր փոքրագույն
ազնիվ ազնվագույն մեծ մեծագույն
ազնիվ ազնվագույն լավ լավագույն
ազնիվ ազնվագույն վատ վատագույն
ազնիվ ազնվագույն խոր խորագույն
ազնիվ ազնվագույն նվազ նվազագույն
ազնիվ ազնվագույն հին հնագույն
ազնիվ ազնվագույն նոր նորագույն
ազնիվ ազնվագույն պայծառ պայծառագույն
ազնիվ ազնվագույն քաջ քաջագույն
ազնիվ ազնվագույն գեր գերագույն
ազնիվ ազնվագույն խոշոր խոշորագույն
ազնիվ ազնվագույն քնքուշ քնքշագույն
ազնիվ ազնվագույն գեղեցիկ գեղեցկագույն
քաջ քաջագույն բարձր բարձրագույն
քաջ քաջագույն ցածր ցածրագույն
քաջ քաջագույն ծանր ծանրագույն
քաջ քաջագույն ուժեղ ուժեղագույն
քաջ քաջագույն պարզ պարզագույն
քաջ քաջագույն բարդ բարդագույն
քաջ քաջագույն փոքր փոքրագույն
քաջ քաջագույն մեծ մեծագույն
քաջ քաջագույն լավ լավագույն
քաջ քաջագույն վատ վատագույն
քաջ քաջագույն խոր խորագույն
քաջ քաջագույն նվազ նվազագույն
քաջ քաջագույն հին հնագույն
քաջ քաջագույն նոր նորագույն
քաջ քաջագույն պայծառ պայծառագույն
քաջ քաջագույն ազնիվ ազնվագույն
քաջ քաջագույն գեր գերագույն
քաջ քաջագույն խոշոր խոշորագույն
քաջ քաջագույն քնքուշ քնքշագույն
քաջ քաջագույն գեղեցիկ գեղեցկագույն
գեր գերագույն բարձր բարձրագույն
գեր գերագույն ցածր ցածրագույն
գեր գերագույն ծանր ծանրագույն
գեր գերագույն ուժեղ ուժեղագույն
գեր գերագույն պարզ պարզագույն
գեր գերագույն բարդ բարդագույն
գեր գերագույն փոքր փոքրագույն
գեր գերագույն մեծ մեծագույն
գեր գերագույն լավ լավագույն
գեր գերագույն վատ վատագույն
գեր գերագույն խոր խորագույն
գեր գերագույն նվազ նվազագույն
գեր գերագույն հին հնագույն
գեր գերագույն նոր նորագույն
գեր գերագույն պայծառ պայծառագույն
գեր գերագույն ազնիվ ազնվագույն
գեր գերագույն քաջ քաջագույն
գեր գերագույն խոշոր խոշորագույն
գեր գերագույն քնքուշ քնքշագույն
գեր գերագույն գեղեցիկ գեղեցկագույն
խոշոր խոշորագույն բարձր բարձրագույն
խոշոր խոշորագույն ցածր ցածրագույն
խոշոր խոշորագույն ծանր ծանրագույն
խոշոր խոշորագույն ուժեղ ուժեղագույն
խոշոր խոշորագույն պարզ պարզագույն
խոշոր խոշորագույն բարդ բարդագույն
խոշոր խոշորագույն փոքր փոքրագույն
խոշոր խոշորագույն մեծ մեծագույն
խոշոր խոշորագույն լավ լավագույն
խոշոր խոշորագույն վատ վատագույն
խոշոր խոշորագույն խոր խորագույն
խոշոր խոշորագույն նվազ նվազագույն
խոշոր խոշորագույն հին հնագույն
խոշոր խոշորագույն նոր նորագույն
խոշոր խոշորագույն պայծառ պայծառագույն
խոշոր խոշորագույն ազնիվ ազնվագույն
խոշոր խոշորագույն քաջ քաջագույն
խոշոր խոշորագույն գեր գերագույն
խոշոր խոշորագույն քնքուշ քնքշագույն
խոշոր խոշորագույն գեղեցիկ գեղեցկագույն
քնքուշ քնքշագույն բարձր բարձրագույն
քնքուշ քնքշագույն ցածր ցածրագույն
քնքուշ քնքշագույն ծանր ծանրագույն
քնքուշ քնքշագույն ուժեղ ուժեղագույն
քնքուշ քնքշագույն պարզ պարզագույն
քնքուշ քնքշագույն բարդ բարդագույն
քնքուշ քնքշագույն փոքր փոքրագույն
քնքուշ քնքշագույն մեծ մեծագույն
քնքուշ քնքշագույն լավ լավագույն
քնքուշ քնքշագույն վատ վատագույն
քնքուշ քնքշագույն խոր խորագույն
քնքուշ քնքշագույն նվազ նվազագույն
քնքուշ քնքշագույն հին հնագույն
քնքուշ քնքշագույն նոր նորագույն
քնքուշ քնքշագույն պայծառ պայծառագույն
քնքուշ քնքշագույն ազնիվ ազնվագույն
քնքուշ քնքշագույն քաջ քաջագույն
քնքուշ քնքշագույն գեր գերագույն
քնքուշ քնքշագույն խոշոր խոշորագույն
քնքուշ քնքշագույն գեղեցիկ գեղեցկագույն
գեղեցիկ գեղեցկագույն բարձր բարձրագույն
գեղեցիկ գեղեցկագույն ցածր ցածրագույն
գեղեցիկ գեղեցկագույն ծանր ծանրագույն
գեղեցիկ գեղեցկագույն ուժեղ ուժեղագույն
գեղեցիկ գեղեցկագույն պարզ պարզագույն
գեղեցիկ գեղեցկագույն բարդ բարդագույն
գեղեցիկ գեղեցկագույն փոքր փոքրագույն
գեղեցիկ գեղեցկագույն մեծ մեծագույն
գեղեցիկ գեղեցկագույն լավ լավագույն
գեղեցիկ գեղեցկագույն վատ վատագույն
գեղեցիկ գեղեցկագույն խոր խորագույն
գեղեցիկ գեղեցկագույն նվազ նվազագույն
գեղեցիկ գեղեցկագույն հին հնագույն
գեղեցիկ գեղեցկագույն նոր նորագույն
գեղեցիկ գեղեցկագույն պայծառ պայծառագույն
գեղեցիկ գեղեցկագույն ազնիվ ազնվագույն
գեղեցիկ գեղեցկագույն քաջ քաջագույն
գեղեցիկ գեղեցկագույն գեր գերագույն
գեղեցիկ գեղեցկագույն խոշոր խոշորագույն
գեղեցիկ գեղեցկագույն քնքուշ քնքշագույն

 : ածականներ -ամենա ածանցով

բարձր ամենաբարձր ցածր ամենացածր
բարձր ամենաբարձր ծանր ամենածանր
բարձր ամենաբարձր ուժեղ ամենաուժեղ
բարձր ամենաբարձր պարզ ամենապարզ
բարձր ամենաբարձր բարդ ամենաբարդ
բարձր ամենաբարձր փոքր ամենափոքր
բարձր ամենաբարձր մեծ ամենամեծ
բարձր ամենաբարձր լավ ամենալավ
բարձր ամենաբարձր վատ ամենավատ
բարձր ամենաբարձր խոր ամենախոր
բարձր ամենաբարձր նվազ ամենանվազ
բարձր ամենաբարձր հին ամենահին
բարձր ամենաբարձր նոր ամենանոր
բարձր ամենաբարձր պայծառ ամենապայծառ
բարձր ամենաբարձր ազնիվ ամենաազնիվ
բարձր ամենաբարձր քաջ ամենաքաջ
բարձր ամենաբարձր գեր ամենագեր
բարձր ամենաբարձր խոշոր ամենախոշոր
բարձր ամենաբարձր քնքուշ ամենաքնքուշ
բարձր ամենաբարձր գեղեցիկ ամենագեղեցիկ
ցածր ամենացածր բարձր ամենաբարձր
ցածր ամենացածր ծանր ամենածանր
ցածր ամենացածր ուժեղ ամենաուժեղ
ցածր ամենացածր պարզ ամենապարզ
ցածր ամենացածր բարդ ամենաբարդ
ցածր ամենացածր փոքր ամենափոքր
ցածր ամենացածր մեծ ամենամեծ
ցածր ամենացածր լավ ամենալավ
ցածր ամենացածր վատ ամենավատ
ցածր ամենացածր խոր ամենախոր
ցածր ամենացածր նվազ ամենանվազ
ցածր ամենացածր հին ամենահին
ցածր ամենացածր նոր ամենանոր
ցածր ամենացածր պայծառ ամենապայծառ
ցածր ամենացածր ազնիվ ամենաազնիվ
ցածր ամենացածր քաջ ամենաքաջ
ցածր ամենացածր գեր ամենագեր
ցածր ամենացածր խոշոր ամենախոշոր
ցածր ամենացածր քնքուշ ամենաքնքուշ
ցածր ամենացածր գեղեցիկ ամենագեղեցիկ
ծանր ամենածանր բարձր ամենաբարձր
ծանր ամենածանր ցածր ամենացածր
ծանր ամենածանր ուժեղ ամենաուժեղ
ծանր ամենածանր պարզ ամենապարզ
ծանր ամենածանր բարդ ամենաբարդ
ծանր ամենածանր փոքր ամենափոքր
ծանր ամենածանր մեծ ամենամեծ
ծանր ամենածանր լավ ամենալավ
ծանր ամենածանր վատ ամենավատ
ծանր ամենածանր խոր ամենախոր
ծանր ամենածանր նվազ ամենանվազ
ծանր ամենածանր հին ամենահին
ծանր ամենածանր նոր ամենանոր
ծանր ամենածանր պայծառ ամենապայծառ
ծանր ամենածանր ազնիվ ամենաազնիվ
ծանր ամենածանր քաջ ամենաքաջ
ծանր ամենածանր գեր ամենագեր
ծանր ամենածանր խոշոր ամենախոշոր
ծանր ամենածանր քնքուշ ամենաքնքուշ
ծանր ամենածանր գեղեցիկ ամենագեղեցիկ
ուժեղ ամենաուժեղ բարձր ամենաբարձր
ուժեղ ամենաուժեղ ցածր ամենացածր
ուժեղ ամենաուժեղ ծանր ամենածանր
ուժեղ ամենաուժեղ պարզ ամենապարզ
ուժեղ ամենաուժեղ բարդ ամենաբարդ
ուժեղ ամենաուժեղ փոքր ամենափոքր
ուժեղ ամենաուժեղ մեծ ամենամեծ
ուժեղ ամենաուժեղ լավ ամենալավ
ուժեղ ամենաուժեղ վատ ամենավատ
ուժեղ ամենաուժեղ խոր ամենախոր
ուժեղ ամենաուժեղ նվազ ամենանվազ
ուժեղ ամենաուժեղ հին ամենահին
ուժեղ ամենաուժեղ նոր ամենանոր
ուժեղ ամենաուժեղ պայծառ ամենապայծառ
ուժեղ ամենաուժեղ ազնիվ ամենաազնիվ
ուժեղ ամենաուժեղ քաջ ամենաքաջ
ուժեղ ամենաուժեղ գեր ամենագեր
ուժեղ ամենաուժեղ խոշոր ամենախոշոր
ուժեղ ամենաուժեղ քնքուշ ամենաքնքուշ
ուժեղ ամենաուժեղ գեղեցիկ ամենագեղեցիկ
պարզ ամենապարզ բարձր ամենաբարձր
պարզ ամենապարզ ցածր ամենացածր
պարզ ամենապարզ ծանր ամենածանր
պարզ ամենապարզ ուժեղ ամենաուժեղ
պարզ ամենապարզ բարդ ամենաբարդ
պարզ ամենապարզ փոքր ամենափոքր
պարզ ամենապարզ մեծ ամենամեծ
պարզ ամենապարզ լավ ամենալավ
պարզ ամենապարզ վատ ամենավատ
պարզ ամենապարզ խոր ամենախոր
պարզ ամենապարզ նվազ ամենանվազ
պարզ ամենապարզ հին ամենահին
պարզ ամենապարզ նոր ամենանոր
պարզ ամենապարզ պայծառ ամենապայծառ
պարզ ամենապարզ ազնիվ ամենաազնիվ
պարզ ամենապարզ քաջ ամենաքաջ
պարզ ամենապարզ գեր ամենագեր
պարզ ամենապարզ խոշոր ամենախոշոր
պարզ ամենապարզ քնքուշ ամենաքնքուշ
պարզ ամենապարզ գեղեցիկ ամենագեղեցիկ
բարդ ամենաբարդ բարձր ամենաբարձր
բարդ ամենաբարդ ցածր ամենացածր
բարդ ամենաբարդ ծանր ամենածանր
բարդ ամենաբարդ ուժեղ ամենաուժեղ
բարդ ամենաբարդ պարզ ամենապարզ
բարդ ամենաբարդ փոքր ամենափոքր
բարդ ամենաբարդ մեծ ամենամեծ
բարդ ամենաբարդ լավ ամենալավ
բարդ ամենաբարդ վատ ամենավատ
բարդ ամենաբարդ խոր ամենախոր
բարդ ամենաբարդ նվազ ամենանվազ
բարդ ամենաբարդ հին ամենահին
բարդ ամենաբարդ նոր ամենանոր
բարդ ամենաբարդ պայծառ ամենապայծառ
բարդ ամենաբարդ ազնիվ ամենաազնիվ
բարդ ամենաբարդ քաջ ամենաքաջ
բարդ ամենաբարդ գեր ամենագեր
բարդ ամենաբարդ խոշոր ամենախոշոր
բարդ ամենաբարդ քնքուշ ամենաքնքուշ
բարդ ամենաբարդ գեղեցիկ ամենագեղեցիկ
փոքր ամենափոքր բարձր ամենաբարձր
փոքր ամենափոքր ցածր ամենացածր
փոքր ամենափոքր ծանր ամենածանր
փոքր ամենափոքր ուժեղ ամենաուժեղ
փոքր ամենափոքր պարզ ամենապարզ
փոքր ամենափոքր բարդ ամենաբարդ
փոքր ամենափոքր մեծ ամենամեծ
փոքր ամենափոքր լավ ամենալավ
փոքր ամենափոքր վատ ամենավատ
փոքր ամենափոքր խոր ամենախոր
փոքր ամենափոքր նվազ ամենանվազ
փոքր ամենափոքր հին ամենահին
փոքր ամենափոքր նոր ամենանոր
փոքր ամենափոքր պայծառ ամենապայծառ
փոքր ամենափոքր ազնիվ ամենաազնիվ
փոքր ամենափոքր քաջ ամենաքաջ
փոքր ամենափոքր գեր ամենագեր
փոքր ամենափոքր խոշոր ամենախոշոր
փոքր ամենափոքր քնքուշ ամենաքնքուշ
փոքր ամենափոքր գեղեցիկ ամենագեղեցիկ
մեծ ամենամեծ բարձր ամենաբարձր
մեծ ամենամեծ ցածր ամենացածր
մեծ ամենամեծ ծանր ամենածանր
մեծ ամենամեծ ուժեղ ամենաուժեղ
մեծ ամենամեծ պարզ ամենապարզ
մեծ ամենամեծ բարդ ամենաբարդ
մեծ ամենամեծ փոքր ամենափոքր
մեծ ամենամեծ լավ ամենալավ
մեծ ամենամեծ վատ ամենավատ
մեծ ամենամեծ խոր ամենախոր
մեծ ամենամեծ նվազ ամենանվազ
մեծ ամենամեծ հին ամենահին
մեծ ամենամեծ նոր ամենանոր
մեծ ամենամեծ պայծառ ամենապայծառ
մեծ ամենամեծ ազնիվ ամենաազնիվ
մեծ ամենամեծ քաջ ամենաքաջ
մեծ ամենամեծ գեր ամենագեր
մեծ ամենամեծ խոշոր ամենախոշոր
մեծ ամենամեծ քնքուշ ամենաքնքուշ
մեծ ամենամեծ գեղեցիկ ամենագեղեցիկ
լավ ամենալավ բարձր ամենաբարձր
լավ ամենալավ ցածր ամենացածր
լավ ամենալավ ծանր ամենածանր
լավ ամենալավ ուժեղ ամենաուժեղ
լավ ամենալավ պարզ ամենապարզ
լավ ամենալավ բարդ ամենաբարդ
լավ ամենալավ փոքր ամենափոքր
լավ ամենալավ մեծ ամենամեծ
լավ ամենալավ վատ ամենավատ
լավ ամենալավ խոր ամենախոր
լավ ամենալավ նվազ ամենանվազ
լավ ամենալավ հին ամենահին
լավ ամենալավ նոր ամենանոր
լավ ամենալավ պայծառ ամենապայծառ
լավ ամենալավ ազնիվ ամենաազնիվ
լավ ամենալավ քաջ ամենաքաջ
լավ ամենալավ գեր ամենագեր
լավ ամենալավ խոշոր ամենախոշոր
լավ ամենալավ քնքուշ ամենաքնքուշ
լավ ամենալավ գեղեցիկ ամենագեղեցիկ
վատ ամենավատ բարձր ամենաբարձր
վատ ամենավատ ցածր ամենացածր
վատ ամենավատ ծանր ամենածանր
վատ ամենավատ ուժեղ ամենաուժեղ
վատ ամենավատ պարզ ամենապարզ
վատ ամենավատ բարդ ամենաբարդ
վատ ամենավատ փոքր ամենափոքր
վատ ամենավատ մեծ ամենամեծ
վատ ամենավատ լավ ամենալավ
վատ ամենավատ խոր ամենախոր
վատ ամենավատ նվազ ամենանվազ
վատ ամենավատ հին ամենահին
վատ ամենավատ նոր ամենանոր
վատ ամենավատ պայծառ ամենապայծառ
վատ ամենավատ ազնիվ ամենաազնիվ
վատ ամենավատ քաջ ամենաքաջ
վատ ամենավատ գեր ամենագեր
