դրամական միվորներ ըստ երկրի։
բուլղարիա լեվ շվեդիա կռոն 
բուլղարիա լեվ թաիլանդ բահթ 
բուլղարիա լեվ ուկրաինա գրիվեն 
բուլղարիա լեվ ամն դոլար
բուլղարիա լեվ վիետնամ դոնգ 
բուլղարիա լեվ ալժիր դինար 
բուլղարիա լեվ անգոլա կվանզա  
բուլղարիա լեվ արգենտինա պեսո
բուլղարիա լեվ հայաստան դրամ
բուլղարիա լեվ բրազիլիա ռեալ 
կամբոջա ռիյել կանադա դոլարը
կամբոջա ռիյել խորվաթիա կունա 
կամբոջա ռիյել դանիա կրոնը
կամբոջա ռիյել եվրոպա եվրո
կամբոջա ռիյել հունգարիա ֆորինտ
կամբոջա ռիյել հնդկաստան ռուփի
կամբոջա ռիյել իրանը ռիալ 
կամբոջա ռիյել ճապոնիա իեն
կամբոջա ռիյել կորեա վոն
կամբոջա ռիյել լատվիա լատս 
կամբոջա ռիյել լիտվա լիտաս 
կամբոջա ռիյել մակեդոնիա դենար 
կամբոջա ռիյել մալայզիա ռինգիթ
կամբոջա ռիյել մեքսիկա պեսո
կամբոջա ռիյել նիգերիա նաիռա 
կամբոջա ռիյել լեհաստան զլոտի
կամբոջա ռիյել ռումինիա լեու 
կամբոջա ռիյել ռուսաստան ռուբլի 
կամբոջա ռիյել շվեդիա կռոն 
կամբոջա ռիյել թաիլանդ բահթ 
կամբոջա ռիյել ուկրաինա գրիվեն 
կամբոջա ռիյել ամն դոլար
կամբոջա ռիյել վիետնամ դոնգ 
կամբոջա ռիյել ալժիր դինար 
կամբոջա ռիյել անգոլա կվանզա  
կամբոջա ռիյել արգենտինա պեսո
կամբոջա ռիյել հայաստան դրամ
կամբոջա ռիյել բրազիլիա ռեալ 
կամբոջա ռիյել բուլղարիա լեվ
կանադա դոլար խորվաթիա կունա 
կանադա դոլար դանիա կրոնը
կանադա դոլարը եվրոպա եվրո
կանադա դոլար հունգարիա ֆորինտ
կանադա դոլար հնդկաստան ռուփի
կանադա դոլար իրանը ռիալ 
կանադա դոլար ճապոնիա իեն
կանադա դոլար կորեա վոն
կանադա դոլար լատվիա լատս 
կանադա դոլար լիտվա լիտաս 
կանադա դոլար մակեդոնիա դենար 
կանադա դոլար մալայզիա ռինգիթ
կանադա դոլար մեքսիկա պեսո
կանադա դոլար նիգերիա նաիռա 
կանադա դոլար լեհաստան զլոտի
կանադա դոլար ռումինիա լեու 
կանադա դոլար ռուսաստան ռուբլի 
կանադա դոլար շվեդիա կռոն 
կանադա դոլար թաիլանդ բահթ 
կանադա դոլար ուկրաինա գրիվեն 
կանադա դոլար վիետնամ դոնգ 
կանադա դոլար ալժիր դինար 
կանադա դոլար անգոլա կվանզա  
կանադա դոլար արգենտինա պեսո
կանադա դոլար հայաստան դրամ
կանադա դոլար բրազիլիա ռեալ 
կանադա դոլար բուլղարիա լեվ
կանադա դոլար կամբոջիա ռիյել
խորվաթիա կունա  դանիա կռոն 
խորվաթիա կունա  եվրոպա եվրո
խորվաթիա կունա  հունգարիա ֆորինտ 
խորվաթիա կունա  հնդկաստան ռուփի 
խորվաթիա կունա  իրանը ռիալ 
խորվաթիա կունա  ճապոնիա յեն
խորվաթիա կունա  կորեա վոն
խորվաթիա կունա  լատվիա լատս 
խորվաթիա կունա  լիտվա լիտաս 
խորվաթիա կունա  մակեդոնիա դենար 
խորվաթիա կունա  մալայզիա ռինգիթ
խորվաթիա կունա  մեքսիկա պեսո
խորվաթիա կունա  նիգերիա նաիռա 
խորվաթիա կունա  լեհաստան զլոտի
խորվաթիա կունա  ռումինիա լեու 
խորվաթիա կունա  ռուսաստան ռուբլի
խորվաթիա կունա  շվեդիա կռոն 
խորվաթիա կունա  թաիլանդ բահթ 
խորվաթիա կունա  ուկրաինա գրիվեն 
խորվաթիա կունա  ամն դոլար
խորվաթիա կունա  վիետնամ դոնգ 
խորվաթիա կունա  ալժիր դինար
խորվաթիա կունա  անգոլա կվանզա  
խորվաթիա կունա  արգենտինա պեսո
խորվաթիա կունա  հայաստան դրամ
խորվաթիա կունա  բրազիլիա ռեալ 
խորվաթիա կունա  բուլղարիա լեվ
խորվաթիա կունա  կամբոջիա ռիյել
խորվաթիա կունա  կանադա դոլարը
դանիա կռոն եվրոպա եվրո
դանիա կռոն հունգարիա ֆորինտ
դանիա կռոն հնդկաստան ռուփի
դանիա կռոն իրանռիալ 
դանիա կռոն ճապոնիա իեն
դանիա կռոն կորեա վոն
դանիա կռոն լատվիա լատս 
դանիա կռոն լիտվա լիտաս 
դանիա կռոն մակեդոնիա դենար 
դանիա կռոն մալայզիա ռինգիթ
դանիա կռոն մեքսիկա պեսո
դանիա կռոն նիգերիա նաիռա 
դանիա կռոն լեհաստան զլոտի
դանիա կռոն ռումինիա լեու 
դանիա կռոն ռուսաստան ռուբլի 
դանիա կռոն շվեդիա կռոն 
դանիա կռոն թաիլանդ բահթ 
դանիա կռոն ուկրաինա գրիվեն 
դանիա կռոն ամն դոլար
դանիա կռոն վիետնամ դոնգ 
դանիա կռոն ալժիր դինար 
դանիա կռոն անգոլա կվանզա  
դանիա կռոն արգենտինա պեսո
դանիա կռոն հայաստան դրամ
դանիա կռոն բրազիլիա ռեալ 
դանիա կռոն բուլղարիա լեվ
դանիա կռոն կամբոջիա ռիյել
դանիա կռոն կանադա դոլարը
դանիա կռոն խորվաթիա կունա 
եվրոպա եվրո հունգարիա ֆորինտ
եվրոպա եվրո հնդկաստան ռուփի
եվրոպա եվրո իրանը ռիալ 
եվրոպա եվրո ճապոնիա իեն
եվրոպա եվրո կորեա վոն
եվրոպա եվրո լատվիա լատս 
եվրոպա եվրո լիտվա լիտաս 
եվրոպա եվրո մակեդոնիա դենար 
եվրոպա եվրո մալայզիա ռինգիթ
եվրոպա եվրո մեքսիկա պեսո
եվրոպա եվրո նիգերիա նաիռա 
եվրոպա եվրո լեհաստան զլոտի
եվրոպա եվրո ռումինիա լեու 
եվրոպա եվրո ռուսաստան ռուբլի 
եվրոպա եվրո շվեդիա կռոն 
եվրոպա եվրո թաիլանդ բահթ 
եվրոպա եվրո ուկրաինա գրիվեն 
եվրոպա եվրո ամն դոլար
եվրոպա եվրո վիետնամ դոնգ 
եվրոպա եվրո ալժիր դինար 
եվրոպա եվրո անգոլա կվանզա  
եվրոպա եվրո արգենտինա պեսո
եվրոպա եվրո հայաստան դրամ
եվրոպա եվրո բրազիլիա ռեալ 
եվրոպա եվրո բուլղարիա լեվ
եվրոպա եվրո կամբոջիա ռիյել
եվրոպա եվրո կանադա դոլարը
եվրոպա եվրո խորվաթիա կունա 
եվրոպա եվրո դանիա կրոնը
հունգարիա ֆորինտ հնդկաստան ռուփի
հունգարիա ֆորինտ իրանը ռիալ 
հունգարիա ֆորինտ ճապոնիա իեն
հունգարիա ֆորինտ կորեա վոն
հունգարիա ֆորինտ լատվիա լատս 
հունգարիա ֆորինտ լիտվա լիտաս 
հունգարիա ֆորինտ մակեդոնիա դենար 
հունգարիա ֆորինտ մալայզիա ռինգիթ
հունգարիա ֆորինտ մեքսիկա պեսո
հունգարիա ֆորինտ նիգերիա նաիռա 
հունգարիա ֆորինտ լեհաստան զլոտի
հունգարիա ֆորինտ ռումինիա լեու 
հունգարիա ֆորինտ ռուսաստան ռուբլի 
հունգարիա ֆորինտ շվեդիա կռոն 
հունգարիա ֆորինտ թաիլանդ բահթ 
հունգարիա ֆորինտ ուկրաինա գրիվեն 
հունգարիա ֆորինտ ամն դոլար
հունգարիա ֆորինտ վիետնամ դոնգ 
հունգարիա ֆորինտ ալժիր դինար 
հունգարիա ֆորինտ անգոլա կվանզա  
հունգարիա ֆորինտ արգենտինա պեսո
հունգարիա ֆորինտ հայաստան դրամ
հունգարիա ֆորինտ բրազիլիա ռեալ 
հունգարիա ֆորինտ բուլղարիա լեվ
հունգարիա ֆորինտ կամբոջիա ռիյել
հունգարիա ֆորինտ կանադա դոլարը
հունգարիա ֆորինտ խորվաթիա կունա 
հունգարիա ֆորինտ դանիա կրոնը
հունգարիա ֆորինտ եվրոպա եվրո
հնդկաստանը ռուփի իրանը ռիալ 
հնդկաստանը ռուփի ճապոնիա իեն
հնդկաստանը ռուփի կորեա վոն
հնդկաստանը ռուփի լատվիա լատս 
հնդկաստանը ռուփի լիտվա լիտաս 
հնդկաստանը ռուփի մակեդոնիա դենար 
հնդկաստանը ռուփի մալայզիա ռինգիթ
հնդկաստանը ռուփի մեքսիկա պեսո
հնդկաստանը ռուփի նիգերիա նաիռա 
հնդկաստանը ռուփի լեհաստան զլոտի
հնդկաստանը ռուփի ռումինիա լեու 
հնդկաստանը ռուփի ռուսաստան ռուբլի 
հնդկաստանը ռուփի շվեդիա կռոն 
հնդկաստանը ռուփի թայլանդ բահթ 
հնդկաստանը ռուփի ուկրաինա գրիվեն 
հնդկաստանը ռուփի ամն դոլար
հնդկաստանը ռուփի վիետնամ դոնգ 
հնդկաստանը ռուփի ալժիր դինար 
հնդկաստանը ռուփի անգոլա կվանզա  
հնդկաստանը ռուփի արգենտինա պեսո
հնդկաստանը ռուփի հայաստան դրամ
հնդկաստանը ռուփի բրազիլիա ռեալ 
հնդկաստանը ռուփի բուլղարիա լեվ
հնդկաստանը ռուփի կամբոջիա ռիյել
հնդկաստանը ռուփի կանադա դոլարը
հնդկաստանը ռուփի խորվաթիա կունա 
հնդկաստանը ռուփի դանիա կրոնը
հնդկաստանը ռուփի եվրոպա եվրո
հնդկաստանը ռուփի հունգարիա ֆորինտ
իրանը ռիալ  ճապոնիա իեն
իրանը ռիալ  կորեա վոն
իրանը ռիալ  լատվիա լատս 
իրանը ռիալ  լիտվա լիտաս 
իրանը ռիալ  մակեդոնիա դենար 
իրանը ռիալ  մալայզիա ռինգիթ
իրանը ռիալ  մեքսիկա պեսո
իրանը ռիալ  նիգերիա նաիռա 
իրանը ռիալ  լեհաստան զլոտի
իրանը ռիալ  ռումինիա լեու 
իրանը ռիալ  ռուսաստան ռուբլի
իրանը ռիալ  շվեդիա կռոն 
իրանը ռիալ  թաիլանդ բահթ 
իրանը ռիալ  ուկրաինա գրիվեն 
իրանը ռիալ  ամն դոլար
իրանը ռիալ  վիետնամ դոնգ 
իրանը ռիալ  ալժիր դինար 
իրանը ռիալ  անգոլա կվանզա  
իրանը ռիալ  արգենտինա պեսո
իրանը ռիալ  հայաստան դրամ
իրանը ռիալ  բրազիլիա ռեալ 
իրանը ռիալ  բուլղարիա լեվ
իրանը ռիալ  կամբոջիա ռիյել
իրանը ռիալ  կանադա դոլարը
իրանը ռիալ  խորվաթիա կունա 
իրանը ռիալ  դանիա կրոնը
իրանը ռիալ  եվրոպա եվրո
իրանը ռիալ  հունգարիա ֆորինտ
իրանը ռիալ  հնդկաստան ռուփի
ճապոնիան իեն կորեան հաղթեց
ճապոնիան իեն լատվիա լատս 
ճապոնիան իեն լիտվա լիտաս 
ճապոնիան իեն մակեդոնիա դենար 
ճապոնիան իեն մալայզիա ռինգիթ
ճապոնիան իեն մեքսիկա պեսո
ճապոնիան իեն նիգերիա նաիռա 
ճապոնիան իեն լեհաստան զլոտի
ճապոնիան իեն ռումինիա լեու 
ճապոնիան իեն ռուսաստան ռուբլի 
ճապոնիան իեն շվեդիա կռոն 
ճապոնիան իեն թաիլանդ բահթ 
ճապոնիան իեն ուկրաինա գրիվեն 
ճապոնիան իեն ամն դոլար
ճապոնիան իեն վիետնամ դոնգ 
ճապոնիան իեն ալժիր դինար 
ճապոնիան իեն անգոլա կվանզա  
ճապոնիան իեն արգենտինա պեսո
ճապոնիան իեն հայաստան դրամ
ճապոնիան իեն բրազիլիա ռեալ 
ճապոնիան իեն բուլղարիա լեվ
ճապոնիան իեն կամբոջիա ռիյել
ճապոնիան իեն կանադա դոլարը
ճապոնիան իեն խորվաթիա կունա 
ճապոնիան իեն դանիա կրոնը
ճապոնիան իեն եվրոպա եվրո
ճապոնիան իեն հունգարիա ֆորինտ
ճապոնիան իեն հնդկաստան ռուփի
ճապոնիան իեն իրանը ռիալ 
կորեա վոն լատվիա լատս 
կորեա վոն լիտվա լիտաս 
կորեա վոն մակեդոնիա դենար 
կորեա վոն մալայզիա ռինգիթ
կորեա վոն մեքսիկա պեսո
կորեա վոն նիգերիա նաիռա 
կորեա վոն լեհաստան զլոտի
կորեա վոն ռումինիա լեու 
կորեա վոն ռուսաստան ռուբլի
կորեա վոն շվեդիա կռոն 
կորեա վոն թաիլանդ բահթ 
կորեա վոն ուկրաինա գրիվեն 
կորեա վոն ամն դոլար
կորեա վոն վիետնամ առաջ
կորեա վոն ալժիր դինար
կորեա վոն անգոլա կվանզա  
կորեա վոն արգենտինա պեսո
կորեա վոն հայաստանին դրամ
կորեա վոն բրազիլիա ռեալ 
կորեա վոն բուլղարիա լեվ
կորեա վոն կամբոջիա ռիյել
կորեա վոն կանադա դոլարը
կորեա վոն խորվաթիա կունա 
կորեա վոն դանիային կռոն 
կորեա վոն եվրոպա եվրո
կորեա վոն հունգարիա ֆորինտ 
կորեա վոն հնդկաստան ռուփի 
կորեա վոն իրանը ռիալ 
կորեա վոն ճապոնիայի յեն
լատվիա լատ լիտվա լիտաս 
լատվիա լատ մակեդոնիա դենար 
լատվիա լատ մալայզիա ռինգիթ
լատվիա լատ մեքսիկա պեսո
լատվիա լատ նիգերիա նաիռա 
լատվիա լատ լեհաստան զլոտի
լատվիա լատ ռումինիա լեու 
լատվիա լատ ռուսաստան ռուբլի
լատվիա լատ շվեդիա կռոն 
լատվիա լատ թաիլանդ բահթ 
լատվիա լատ ուկրաինա գրիվեն 
լատվիա լատ ամն դոլար
լատվիա լատ վիետնամ առաջ
լատվիա լատ ալժիր դինար
լատվիա լատ անգոլա կվանզա  
լատվիա լատ արգենտինա պեսո
լատվիա լատ հայաստան դրամ
լատվիա լատ բրազիլիա ռեալ 
լատվիա լատ բուլղարիա լեվ
լատվիա լատ կամբոջիա ռիյել
լատվիա լատ կանադա դոլարը
լատվիա լատ խորվաթիա կունա 
լատվիա լատ դանիա կռոն 
լատվիա լատ եվրոպա եվրո
լատվիա լատ հունգարիա ֆորինտ 
լատվիա լատ հնդկաստան ռուփի 
լատվիա լատ իրան ռիալ
լատվիա լատ ճապոնիա յեն
լատվիա լատ կորեա վոն
լիտվան լիտաս  մակեդոնիա դենար 
լիտվան լիտաս  մալայզիա ռինգիթ
լիտվան լիտաս  մեքսիկա պեսո
լիտվան լիտաս  նիգերիա նաիռա 
լիտվան լիտաս  լեհաստան զլոտի
լիտվան լիտաս  ռումինիա լեու 
լիտվան լիտաս  ռուսաստան ռուբլի
լիտվան լիտաս  շվեդիա կռոն 
լիտվան լիտաս  թաիլանդ բահթ 
լիտվան լիտաս  ուկրաինա գրիվեն 
լիտվան լիտաս  ամն դոլար
լիտվան լիտաս  վիետնամ առաջ
լիտվան լիտաս  ալժիր դինար
լիտվան լիտաս  անգոլա կվանզա  
լիտվան լիտաս  արգենտինա պեսո
լիտվան լիտաս  հայաստան դրամ
լիտվան լիտաս  բրազիլիա ռեալ 
լիտվան լիտաս  բուլղարիա լեվ
լիտվան լիտաս  կամբոջիա ռիյել
լիտվան լիտաս  կանադա դոլարը
լիտվան լիտաս  խորվաթիա կունա 
լիտվան լիտաս  դանիա կռոն 
լիտվան լիտաս  եվրոպա եվրո
լիտվան լիտաս  հունգարիա ֆորինտ 
լիտվան լիտաս  հնդկաստան ռուփի 
լիտվան լիտաս  իրան ռիալ
լիտվան լիտաս  ճապոնիա յեն
լիտվան լիտաս  կորեա վոն
լիտվան լիտաս  լատվիա լատս 
մակեդոնիա դենար  մալայզիա ռինգիթ
մակեդոնիա դենար  մեքսիկա պեսո
մակեդոնիա դենար  նիգերիա նաիռա 
մակեդոնիա դենար  լեհաստան զլոտի
մակեդոնիա դենար  ռումինիա լեու 
մակեդոնիա դենար  ռուսաստան ռուբլի 
մակեդոնիա դենար  շվեդիա կռոն 
մակեդոնիա դենար  թաիլանդ բահթ 
մակեդոնիա դենար  ուկրաինա գրիվեն 
մակեդոնիա դենար  ամն դոլար
մակեդոնիա դենար  վիետնամ դոնգ 
մակեդոնիա դենար  ալժիր դինար 
մակեդոնիա դենար  անգոլա կվանզա  
մակեդոնիա դենար  արգենտինա պեսո
մակեդոնիա դենար  հայաստան դրամ
մակեդոնիա դենար  բրազիլիա ռեալ 
մակեդոնիա դենար  բուլղարիա լեվ
մակեդոնիա դենար  կամբոջիա ռիյել
մակեդոնիա դենար  կանադա դոլարը
մակեդոնիա դենար  խորվաթիա կունա 
մակեդոնիա դենար  դանիա կրոնը
մակեդոնիա դենար  եվրոպա եվրո
մակեդոնիա դենար  հունգարիա ֆորինտ
մակեդոնիա դենար  հնդկաստան ռուփի
մակեդոնիա դենար  իրանը ռիալ 
մակեդոնիա դենար  ճապոնիա իեն
մակեդոնիա դենար  կորեա վոն
մակեդոնիա դենար  լատվիա լատս 
մակեդոնիա դենար  լիտվա լիտաս 
մալայզիա ռինգիթ մեքսիկա պեսո
մալայզիա ռինգիթ նիգերիա նաիռա 
մալայզիա ռինգիթ լեհաստան զլոտի
մալայզիա ռինգիթ ռումինիա լեու 
մալայզիա ռինգիթ ռուսաստան ռուբլի
մալայզիա ռինգիթ շվեդիա կռոն 
մալայզիա ռինգիթ թաիլանդ բահթ 
մալայզիա ռինգիթ ուկրաինա գրիվեն 
մալայզիա ռինգիթ ամն դոլար
մալայզիա ռինգիթ վիետնամ առաջ
մալայզիա ռինգիթ ալժիր դինար
մալայզիա ռինգիթ անգոլա կվանզա  
մալայզիա ռինգիթ արգենտինա պեսո
մալայզիա ռինգիթ հայաստան դրամ
մալայզիա ռինգիթ բրազիլիա ռեալ 
մալայզիա ռինգիթ բուլղարիա լեվ
մալայզիա ռինգիթ կամբոջիա ռիյել
մալայզիա ռինգիթ կանադա դոլարը
մալայզիա ռինգիթ խորվաթիա կունա 
մալայզիա ռինգիթ դանիա կռոն 
մալայզիա ռինգիթ եվրոպա եվրո
մալայզիա ռինգիթ հունգարիա ֆորինտ 
մալայզիա ռինգիթ հնդկաստան ռուփի 
մալայզիա ռինգիթ իրանը ռիալ 
մալայզիա ռինգիթ ճապոնիա յեն
մալայզիա ռինգիթ կորեա վոն
մալայզիա ռինգիթ լատվիա լատս 
մալայզիա ռինգիթ լիտվա լիտաս 
մալայզիա ռինգիթ մակեդոնիա դենար 
մեքսիկա պեսո նիգերիա նաիռա 
մեքսիկա պեսո լեհաստան զլոտի
մեքսիկա պեսո ռումինիա լեու 
մեքսիկա պեսո ռուսաստան ռուբլի 
մեքսիկա պեսո շվեդիա կռոն 
մեքսիկա պեսո թաիլանդ բահթ 
մեքսիկա պեսո ուկրաինա գրիվեն 
մեքսիկա պեսո ամն դոլար
մեքսիկա պեսո վիետնամ դոնգ 
մեքսիկա պեսո ալժիր դինար 
մեքսիկա պեսո անգոլա կվանզա  
մեքսիկա պեսո հայաստան դրամ
մեքսիկա պեսո բրազիլիա ռեալ 
մեքսիկա պեսո բուլղարիա լեվ
մեքսիկա պեսո կամբոջիա ռիյել
մեքսիկա պեսո կանադա դոլարը
մեքսիկա պեսո խորվաթիա կունա 
մեքսիկա պեսո դանիա կրոնը
մեքսիկա պեսո եվրոպա եվրո
մեքսիկա պեսո հունգարիա ֆորինտ
մեքսիկա պեսո հնդկաստան ռուփի
մեքսիկա պեսո իրանը ռիալ 
մեքսիկա պեսո ճապոնիա իեն
մեքսիկա պեսո կորեա վոն
մեքսիկա պեսո լատվիա լատս 
մեքսիկա պեսո լիտվա լիտաս 
մեքսիկա պեսո մակեդոնիա դենար 
մեքսիկա պեսո մալայզիա ռինգիթ
նիգերիա նաիռա լեհաստան զլոտի
նիգերիա նաիռա ռումինիա լեու 
նիգերիա նաիռա ռուսաստան ռուբլի
նիգերիա նաիռա շվեդիա կռոն 
նիգերիա նաիռա թաիլանդ բահթ 
նիգերիա նաիռա ուկրաինա գրիվեն 
նիգերիա նաիռա ամն դոլար
նիգերիա նաիռա վիետնամ առաջ
նիգերիա նաիռա ալժիր դինար
նիգերիա նաիռա  անգոլա կվանզա  
նիգերիա նաիռա արգենտինա պեսո
նիգերիա նաիռա հայաստան դրամ
նիգերիա նաիռա բրազիլիա ռեալ 
նիգերիա նաիռա բուլղարիա լեվ
նիգերիա նաիռա կամբոջիա ռիյել
նիգերիա նաիռա կանադա դոլարը
նիգերիա նաիռա խորվաթիա կունա 
նիգերիա նաիռա դանիա կռոն 
նիգերիա նաիռա եվրոպա եվրո
նիգերիա նաիռա հունգարիա ֆորինտ 
նիգերիա նաիռա հնդկաստան ռուփի 
նիգերիա նաիռա իրան ռիալ
նիգերիա նաիռա ճապոնիա յեն
նիգերիա նաիռա  կորեա վոն
նիգերիա նաիռա լատվիա լատս 
նիգերիա նաիռա լիտվա լիտաս 
նիգերիա նաիռա մակեդոնիա դենար 
նիգերիա նաիռա մալայզիա ռինգիթ
նիգերիա նաիռա  մեքսիկա պեսո
